2204,3,399900
1700,3,329900
2500,3,369000
1516,2,232000
3100,4,539900
1885,4,299900
1634,3,314900
1527,3,198999
1480,3,212000
1594,3,242500
1840,4,239999
2100,3,347000
1990,3,329999
4578,5,699900
1168,3,259900
2400,4,449900
1220,2,299900
1336,3,199900
2709,4,499998
3131,4,599000
1867,3,252900
1988,2,255000
1704,3,242900
1862,4,259900
3990,3,573900
1200,3,249900
1558,3,464500
2626,3,469000
2300,3,475000
2737,3,299900
1939,2,349900
1100,1,169900
2140,4,314900
3466,3,579900
1911,4,285900
1537,3,249900
1339,3,229900
2232,4,345000
4315,4,549000
2262,4,287000
1764,2,368500
2138,3,329900
2467,4,314000
1100,3,299000
952,2,179900
1952,4,299900
1303,3,239500
